timestamp,itemid,property,value
1.44E+12,69408,available,1
1.43E+12,435713,188,769062
1.44E+12,80502,available,1
1.44E+12,451967,790,n40440.000
1.43E+12,315543,790,n75960.000
1.44E+12,241752,790,n29760.000
1.44E+12,379002,400,269011 n720.000 424566
1.44E+12,160161,728,813694
1.43E+12,60214,917,675707
1.43E+12,272187,283,297603 1249027 896095 309439 645359
1.43E+12,371590,19,1297729 n0.000 309206
1.44E+12,320970,888,171969 306678 261498 n708.000 1175087 n384.000 1175087 n1032.000 424566 784581 1297729 n36.000 350726 30603 832471
1.43E+12,87575,161,769062
1.43E+12,250696,988,769062
1.43E+12,139898,available,1
1.44E+12,250696,888,387880 1128021
1.44E+12,386056,776,453483
1.43E+12,47457,176,769062
1.44E+12,350629,790,n240960.000
1.43E+12,41932,790,n5400.000
1.43E+12,198209,204,992862 677128 221748 1185589
1.44E+12,329693,783,1116693
1.43E+12,332761,888,1183340
1.43E+12,80622,581,181384
1.43E+12,318871,790,n46188.000
1.44E+12,389545,available,0
1.44E+12,102986,888,922755 232958 682219
1.44E+12,219936,962,664227 1305534 664227 463202 664227
1.44E+12,417464,790,n876000.000
1.44E+12,151839,available,1
1.43E+12,319910,categoryid,282
1.43E+12,286065,348,809780
1.43E+12,80299,categoryid,1277
1.43E+12,305760,790,n37440.000
1.44E+12,432152,1092,291010
1.44E+12,281442,1032,703585
1.43E+12,188698,categoryid,1402
1.44E+12,269430,790,n88680.000
1.43E+12,65889,888,754284 n24.000 387031
1.44E+12,99496,888,977238 771257 522237 816909 n683388.000 906640 1133979
1.43E+12,138439,765,769062
1.43E+12,367447,653,1314495 237874 536050 1323749
1.43E+12,14671,496,464704 826669 1176545
1.44E+12,76196,102,n216.000 396934
1.43E+12,373384,888,435907 573886 1318567
1.44E+12,221347,332,769062
1.43E+12,60214,230,1298303
1.43E+12,350819,71,764641
1.43E+12,202719,478,868208
1.44E+12,466472,790,n37920.000
1.43E+12,156094,19,754548 350726
1.43E+12,399728,994,150169 820477 437265 951705
1.43E+12,34435,364,687711
1.43E+12,459761,790,n39720.000
1.43E+12,84160,available,0
1.44E+12,303619,22,992329
1.44E+12,285729,888,351505 n108.000 44585 113919 1284577 230420
1.44E+12,464731,790,n45000.000
1.44E+12,335975,451,1141052 n48.000
1.44E+12,381653,categoryid,491
1.44E+12,159603,776,369399
1.43E+12,93900,available,1
1.44E+12,422948,available,0
1.43E+12,181673,1092,291010
1.43E+12,165816,6,697762
1.44E+12,260256,888,864259 1063261
1.43E+12,350766,112,679677
1.44E+12,257773,400,1297729 n660.000 1178208 n720.000 424566
1.43E+12,244504,888,1129416 364023 961511
1.43E+12,291689,790,n33288.000
1.43E+12,461765,468,n24.000 272976
1.44E+12,275648,888,437265 621217 n36.000 n96.000 1062049 831479 973211 1315552
1.44E+12,308985,790,n245760.000
1.43E+12,60214,888,675707
1.44E+12,312728,888,441568 1154859 86628
1.44E+12,98498,764,1285872
1.44E+12,282803,917,n4430688876.000
1.43E+12,343861,categoryid,1120
1.43E+12,157078,698,780351
1.44E+12,43391,888,92955 926977
1.44E+12,280893,888,1190295 973082 980660 346454
1.43E+12,198620,available,1
1.43E+12,310590,776,732085
1.44E+12,263188,888,797432 n768360360.000 1318567
1.43E+12,78978,790,n64680.000
1.43E+12,159603,675,769062
1.43E+12,414460,790,n9480.000
1.44E+12,373384,available,0
1.44E+12,348196,888,1124401 n16440.000 726612 1052282 86628
1.43E+12,393134,764,1285872
1.43E+12,335913,790,n23160.000
1.44E+12,282803,720,769062
1.44E+12,462394,888,683597 n43476.000
1.44E+12,227470,790,n47880.000
1.44E+12,466472,964,769062 n2640.000 639502 n2760.000 1128577 486467 604633 769062
1.43E+12,346655,888,n3648.000
1.44E+12,253353,678,820477
1.43E+12,348942,776,917221
1.44E+12,82389,19,1297729 n36.000 350726 30603 832471
1.43E+12,54435,678,367680
1.43E+12,48743,888,724243 1304377 264538 998349
1.44E+12,38796,available,1
1.43E+12,303715,810,769062
1.44E+12,13031,available,1
1.44E+12,350819,790,n30588.000
1.44E+12,167484,categoryid,1407
1.44E+12,32971,available,0
1.43E+12,379744,159,519769
1.44E+12,227470,227,1322342 1174704 1322342 1174704 402775
1.43E+12,55364,888,11996 n126072.000 26820 655992 150169 138242
1.43E+12,240421,888,365160 n11854.080
1.44E+12,391089,567,769062
1.43E+12,37583,678,1290827
1.43E+12,199810,available,0
1.44E+12,231243,519,769062
1.43E+12,91755,544,618514 980588
1.43E+12,45121,790,n67080.000
1.44E+12,466861,790,n351960.000
1.43E+12,137633,available,0
1.44E+12,227628,898,769062
1.44E+12,273743,112,679677
1.43E+12,464409,790,n44520.000
1.44E+12,337358,available,1
1.43E+12,86238,225,951585
1.44E+12,261793,790,n2640.000
1.44E+12,255275,available,0
1.43E+12,328696,790,n210960.000
1.43E+12,98728,888,1220053 92374 1169436 451873
1.43E+12,319992,790,n185640.000
1.44E+12,263153,283,545482 23189 757435 n7440.000 1305274 1016243 1262384 545482 992688 1284004 505421 945042 139357 n720.000 1187104 673876 1178208 n900.000 1272915 790451 1092936 125794 1086874 656346 814966 1033706 353870 227411 1159767 785275 499310 1116693
1.43E+12,19629,categoryid,509
1.43E+12,281958,202,n23172.000 690687 610340 913084 834057
1.43E+12,360258,227,430845 98427
1.44E+12,102229,6,537209
1.44E+12,367490,790,n46320.000
1.44E+12,347013,962,664227 1305534 664227
1.43E+12,294632,839,1101877
1.43E+12,443967,942,769062
1.43E+12,426298,888,451929 599442
1.44E+12,262159,790,n279240.000
1.43E+12,281657,586,n10800.000 10317
1.44E+12,292760,888,1275486 961511 1284577 230420 868285
1.43E+12,403716,678,233560
1.44E+12,100307,227,245617
1.43E+12,75994,790,n265440.000
1.44E+12,96776,400,n552.000 639502 n720.000 424566
1.44E+12,67486,400,n552.000 639502 n720.000 424566
1.43E+12,262159,283,1037891 127431 1059499 n713162508.000 127431 730175 n360.000 312815 1178058 1037891 1244358 157939 386817 983499 30603 615344 520279 855390 718248 94244 493696 150169 1138498 868573 30603 150169 1256252 200595 98614 237874 312815 1037891 1215254 646928 434503 1004914 614681
1.44E+12,412312,888,330236 291334
1.43E+12,95655,283,88412 827388 805325 426774 1003360 426774 778037 805325 1003360 224903 639502 150169 610517 1128577 518047 1297729 261772 350726 30603 832471 1242177 88412 337772 1097148 883577 834809 269926 610517 821952 615344 874569 637249 164489 959659 913084 1151941 1323342 23485
1.43E+12,250658,790,n35640.000
1.43E+12,59691,678,180816
1.43E+12,153280,1090,769062
1.44E+12,459109,809,n600.000 910945
1.43E+12,267010,790,n84120.000
1.44E+12,203231,888,139827 n7680.000 727751 628176 1318567
1.44E+12,189563,available,0
1.44E+12,10620,978,684814 521119 1010684 234274
1.43E+12,291770,790,n188760.000
1.44E+12,275269,790,n917280.000
1.44E+12,343878,720,1297729 n13.200 1178208 n18.000 404373
1.44E+12,153280,978,116566
1.43E+12,257196,364,242111
1.44E+12,316753,364,390779
1.44E+12,47457,790,n14280.000
1.44E+12,350689,202,586893 10441
1.44E+12,374841,364,828536
1.44E+12,204070,400,1297729 n720.000 1178208 n900.000 424566
1.44E+12,325262,283,405412 647527 581654 590106 763938
1.43E+12,299256,678,570988
1.43E+12,65889,6,1040170 1242195
1.43E+12,410676,965,n14400.000 2943
1.43E+12,102131,227,1322342 125233 150169 729388
1.44E+12,184370,917,1195349 n7308.000 628176
1.43E+12,122604,1,1021755
1.43E+12,277613,678,92148 824508
1.44E+12,276105,698,274770 1091142
1.43E+12,306886,451,331161
1.43E+12,102061,993,1070307
1.44E+12,409655,112,679677
1.43E+12,305760,available,1
1.44E+12,437302,1032,98606 1015535
1.43E+12,329693,892,769062
1.43E+12,367447,969,n23040.000 628176 n12960.000
1.43E+12,28540,698,1040170 977762
1.43E+12,20388,468,341968
1.44E+12,37029,581,181384
1.43E+12,335041,790,n117240.000
1.44E+12,59691,790,n205920.000
1.44E+12,306433,790,n188280.000
1.44E+12,420056,790,n50040.000
1.43E+12,432925,558,726714 150169 640322
1.43E+12,463379,776,1120830
1.44E+12,78849,992,n24000.000 10317
1.43E+12,328696,230,816598 43939
1.43E+12,21886,available,1
